liberia,margibi county,deaths,2,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,montserrado county,cases,1,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,montserrado county,deaths,1,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,national,cases,26,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,national,confirmed cases,5,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,national,deaths,13,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,nimba county,cases,3,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,nimba county,deaths,1,4/13/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/13aprilebola%20virus%20disease%20epidemic%20in%20liberia.%20sitrep%20no.11%281%29_0.pdf
liberia,bong county,cases,5,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,bong county,deaths,0,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,grand cape mount,cases,1,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,grand cape mount,deaths,0,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,lofa county,cases,10,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,lofa county,deaths,9,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,margibi county,cases,6,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,margibi county,deaths,2,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,montserrado county,cases,1,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,montserrado county,deaths,1,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,national,cases,27,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,national,confirmed cases,6,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,national,deaths,13,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,nimba county,cases,4,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,nimba county,deaths,1,4/16/2014,unicef,https://wca.humanitarianresponse.info/fr/system/files/documents/files/unicef%20liberia%20sitrep16%20ebola%20viral%20disease%2016apr2014_1.pdf
liberia,national,cases,27,4/18/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20april%202014%20pdf%281%29_0.pdf
liberia,national,confirmed cases,6,4/18/2014,gvt,https://wca.humanitarianresponse.info/fr/system/files/documents/files/18th%20%20april%202014%20pdf%281%29_0.pdf
